"title"	"date"	"document_doc"	"document_pdf"	"text"	"document_reference"	"agency"	"month"	"quarter"	"year"
"Cost effectiveness of translations in the EU"	2017-05-16	"http://www.europarl.europa.eu/RegData/questions/ecrites/2017/003167/P8_QE(2017)003167_EN.docx"	"http://www.europarl.europa.eu/RegData/questions/ecrites/2017/003167/P8_QE(2017)003167_EN.pdf"	"Extract: – in particular the DG for Translation (DGT) of the Commission and the DG for Translation of the European Parliament. EU agencies must use the Translation Centre (CdT) to translate their texts. I realise that translations have to be professional"	"
								 
							      
							      
							         P8_QE(2017)003167
							      
							    
							"	"CdT"	2017-05-01	2017-04-01	2017-01-01
"Properties of the Translation Centre for the Bodies of the European Union (CdT)"	2013-11-05	"http://www.europarl.europa.eu/RegData/questions/ecrites/2013/012146/P7_QE(2013)012146_EN.doc"	NA	"Extract:Question for written answer E-012146/2013to the CommissionRule 117Hans-Peter Martin (NI)Subject:Properties of the Translation Centre for the Bodies of the European Union (CdT)According to the statement of revenue and expenditure of the"	"
								 
							      
							      
							         P7_QE(2013)012146
							      
							    
							"	"CdT"	2013-11-01	2013-10-01	2013-01-01
"Missions of the Translation Centre for the Bodies of the European Union (CdT)"	2013-11-05	"http://www.europarl.europa.eu/RegData/questions/ecrites/2013/012119/P7_QE(2013)012119_EN.doc"	NA	"Extract:Question for written answer E-012119/2013to the CommissionRule 117Hans-Peter Martin (NI)Subject:Missions of the Translation Centre for the Bodies of the European Union (CdT)According to the Amended Work Programme 2013 of the Translation"	"
								 
							      
							      
							         P7_QE(2013)012119
							      
							    
							"	"CdT"	2013-11-01	2013-10-01	2013-01-01
"Security and surveillance costs of the Translation Centre for the Bodies of the European Union (CdT)"	2013-11-05	"http://www.europarl.europa.eu/RegData/questions/ecrites/2013/012109/P7_QE(2013)012109_EN.doc"	NA	"Extract:Question for written answer E-012109/2013to the CommissionRule 117Hans-Peter Martin (NI)Subject:Security and surveillance costs of the Translation Centre for the Bodies of the European Union (CdT)According to the Preliminary Draft Budget"	"
								 
							      
							      
							         P7_QE(2013)012109
							      
							    
							"	"CdT"	2013-11-01	2013-10-01	2013-01-01
"Composition of the staff of the Translation Centre for the Bodies of the European Union (CdT)"	2013-11-05	"http://www.europarl.europa.eu/RegData/questions/ecrites/2013/012107/P7_QE(2013)012107_EN.doc"	NA	"Extract:Question for written answer E-012107/2013to the CommissionRule 117Hans-Peter Martin (NI)Subject:Composition of the staff of the Translation Centre for the Bodies of the European Union (CdT)According to the statistical information on the"	"
								 
							      
							      
							         P7_QE(2013)012107
							      
							    
							"	"CdT"	2013-11-01	2013-10-01	2013-01-01
"Recruitment criteria"	2010-01-04	"http://www.europarl.europa.eu/RegData/questions/ecrites/2009/6503/P7_QE(2009)6503_EN.doc"	NA	"Extract: Resources issues) at the Translation Centre (CdT), to start in early 2005 at the latest’.Since then nothing more has been heard about it.What was the outcome of the audit of the Translation Centre?What conclusions were drawn and how were they"	"
								 
							      
							      
							         P7_QE(2009)6503
							      
							    
							"	"CdT"	2010-01-01	2010-01-01	2010-01-01
"Difference in average gross salary between DGs and agencies"	2007-11-20	"http://www.europarl.europa.eu/RegData/questions/ecrites/2007/5749/P6_QE(2007)5749_EN.doc"	NA	"Extract: the Directorate-General for the Environment and the European Environment Agency (EEA), the Directorate-General for Translation and the Translation Centre for the Bodies of the European Union (CdT), the Directorate-General for Health and Consumer"	"
								 
							      
							      
							         P6_QE(2007)5749
							      
							    
							"	"CdT"	2007-11-01	2007-10-01	2007-01-01
"Cedefop budget cuts"	2018-11-12	"http://www.europarl.europa.eu/RegData/questions/ecrites/2018/005512/P8_QE(2018)005512_EN.docx"	"http://www.europarl.europa.eu/RegData/questions/ecrites/2018/005512/P8_QE(2018)005512_EN.pdf"	"Extract:1167567.EN PE 629.907 Question for written answer E-005512/2018 to the Commission Rule 130 Theodoros Zagorakis (PPE) Subject: Cedefop budget cuts While the negotiations on the new multiannual financial framework (MFF) are still ongoing"	"
								 
							      
							      
							         P8_QE(2018)005512
							      
							    
							"	"Cedefop"	2018-11-01	2018-10-01	2018-01-01
"Long-term integration of unaccompanied minors"	2017-09-28	"http://www.europarl.europa.eu/RegData/questions/ecrites/2017/006051/P8_QE(2017)006051_EN.docx"	"http://www.europarl.europa.eu/RegData/questions/ecrites/2017/006051/P8_QE(2017)006051_EN.pdf"	"Extract: into this category. Has the Commission looked into this area? In 2018, the European Centre for the Development of Vocational Training (CEDEFOP) will release its report comparing programs and experiences in the field of vocational education in the"	"
								 
							      
							      
							         P8_QE(2017)006051
							      
							    
							"	"Cedefop"	2017-09-01	2017-07-01	2017-01-01
"Evaluation of EU agencies"	2017-05-22	"http://www.europarl.europa.eu/RegData/questions/ecrites/2017/003249/P8_QE(2017)003249_EN.docx"	"http://www.europarl.europa.eu/RegData/questions/ecrites/2017/003249/P8_QE(2017)003249_EN.pdf"	"Extract: agencies: the European Foundation for the Improvement of Living and Working Conditions (Eurofound), the European Centre for the Development of Vocational Training (Cedefop), the European Training Foundation (ETF) and the European Agency for Safety and"	"
								 
							      
							      
							         P8_QE(2017)003249
							      
							    
							"	"Cedefop"	2017-05-01	2017-04-01	2017-01-01
"Growth of 'green jobs' and future workforce needs"	2017-04-25	"http://www.europarl.europa.eu/RegData/questions/ecrites/2017/002694/P8_QE(2017)002694_EN.docx"	"http://www.europarl.europa.eu/RegData/questions/ecrites/2017/002694/P8_QE(2017)002694_EN.pdf"	"Extract: green economy would call for professional skills in engineering and science. In general, the number of science and engineering-related jobs is expected to increase by 12.1% by 2025, as compared to overall job growth of 3.8% (CEDEFOP, 2015). Graduates"	"
								 
							      
							      
							         P8_QE(2017)002694
							      
							    
							"	"Cedefop"	2017-04-01	2017-04-01	2017-01-01
"European Centre for the Development of Vocational Training and European Training Foundation"	2015-07-09	"http://www.europarl.europa.eu/RegData/questions/ecrites/2015/009748/P8_QE(2015)009748_EN.doc"	NA	"Extract: European Centre for the Development of Vocational Training (Cedefop) was founded in 1975, is based in Thessaloniki in Greece, and has a budget of EUR 17.9 million. Its role is ‘to assist the Commission in promoting and developing vocational and continuing"	"
								 
							      
							      
							         P8_QE(2015)009748
							      
							    
							"	"Cedefop"	2015-07-01	2015-07-01	2015-01-01
"European Centre for the Development of Vocational Training (Cedefop)"	2015-06-17	"http://www.europarl.europa.eu/RegData/questions/ecrites/2015/008346/P8_QE(2015)008346_EN.doc"	NA	"Extract:Question for written answer E-008346/2015to the CommissionRule 130Sophie Montel (NI) and Dominique Bilde (NI)Subject:European Centre for the Development of Vocational Training (Cedefop)In France, the unemployment rate amongst the under 25"	"
								 
							      
							      
							         P8_QE(2015)008346
							      
							    
							"	"Cedefop"	2015-06-01	2015-04-01	2015-01-01
"Unemployment among young people without qualifications"	2012-09-14	"http://www.europarl.europa.eu/RegData/questions/ecrites/2012/007814/P7_QE(2012)007814_EN.doc"	NA	"Extract:Question for written answer E-007814/2012to the CommissionRule 117Georgios Papanikolaou (PPE)Subject:Unemployment among young people without qualificationsAccording to recent CEDEFOP data, there has been a substantial rise in unemployment"	"
								 
							      
							      
							         P7_QE(2012)007814
							      
							    
							"	"Cedefop"	2012-09-01	2012-07-01	2012-01-01
"Lifelong learning: poor results of attempts to increase the percentage of adults with a low level of education participating in lifelong learning"	2012-07-05	"http://www.europarl.europa.eu/RegData/questions/ecrites/2012/006478/P7_QE(2012)006478_EN.doc"	NA	"Extract: learningAccording to data from CEDEFOP, it is more difficult for low-skilled persons aged 25–64 to participate in lifelong learning programmes. The percentage remains at 3.8 %, unchanged since 2008, despite efforts by the Commission and the Member States"	"
								 
							      
							      
							         P7_QE(2012)006478
							      
							    
							"	"Cedefop"	2012-07-01	2012-07-01	2012-01-01
"Impact of the crisis on the part-time employment of youth"	2012-07-05	"http://www.europarl.europa.eu/RegData/questions/ecrites/2012/006476/P7_QE(2012)006476_EN.doc"	NA	"Extract:Question for written answer E-006476/2012to the CommissionRule 117Georgios Papanikolaou (PPE)Subject:Impact of the crisis on the part-time employment of youthAccording to CEDEFOP data, the economic crisis has aggravated the phenomenon of"	"
								 
							      
							      
							         P7_QE(2012)006476
							      
							    
							"	"Cedefop"	2012-07-01	2012-07-01	2012-01-01
"Young jobseekers"	2012-02-01	"http://www.europarl.europa.eu/RegData/questions/ecrites/2012/000757/P7_QE(2012)000757_EN.doc"	NA	"Extract:.According to data from the European Centre for the Development of Vocational Training (Cedefop) and the European Europass portal, referring to the number of European CVs completed by Greek citizens, Greek citizens completed 92 732 European CVs online in 2011"	"
								 
							      
							      
							         P7_QE(2012)000757
							      
							    
							"	"Cedefop"	2012-02-01	2012-01-01	2012-01-01
"Measures to boost the economy taken to accompany Greek austerity measures during the debt crisis"	2011-07-22	"http://www.europarl.europa.eu/RegData/questions/ecrites/2011/007298/P7_QE(2011)007298_EN.doc"	NA	"Extract: education at a vocational school in one course) have significantly lower rates of youth unemployment. What measures have been taken by CEDEFOP, the European Centre for the Development of Vocational Training, which is based in Greece, to help reduce the youth"	"
								 
							      
							      
							         P7_QE(2011)007298
							      
							    
							"	"Cedefop"	2011-07-01	2011-07-01	2011-01-01
